1,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
2,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
4,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
5,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
6,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
7,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
8,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
9,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
10,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
3,7.55,0.05,4.79,20.0,100.0,0.25,0.95,1.0,0.0,450.0
