1,2,0,322510,25.679,659.412008,23.3400002,0.4,0,0.5,2
2,3,0,322511,32.0371,1685.7891876,23.8999996,0.4,0,0.5,2
3,4,0,322512,23.3751,546.3965304,22.2700005,0.4,0,0.5,2
4,5,0,322513,16.154,260.9506939,17.8299999,0.4,0,0.5,2
5,6,0,322514,9.4946,90.1472665,14.4700003,0.4,0,0.5,2
6,7,1,322515,11.656,2233.0275337,13.8789997,0.4,0,0.5,2
7,8,1,322516,12.958,345.0596719,13.2229996,0.4,0,0.5,2
8,9,1,322517,10.4126,3050495.6926123,13.2469997,0.4,0,0.5,2
9,10,1,322518,11.4821,131.8382362,13.4490004,0.4,0,0.5,2
10,-1,1,322519,38.6622,1494.7661688,23.9290009,0.4,0,0.5,2
